,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),total_cases
5,-0.3742832319758977,-0.3321723191506773,-1.1423562252010682,-0.4285714285714301,-0.5183887813727518,-0.2714161598308308,-0.2427131070533273,-0.6373057201378101,-0.3571428571428575,-0.5155597380846364,-0.14630755863643538,-0.10705774514931553,-0.7383158211504596,-0.4285714285714301,-0.5065959163187366,-1.4543874891341957,-1.5574702108972436,-1.7820868649141894,-4.71428571428572,-0.4914973160750528,-0.9615986098821772,-0.9620531623288602,-0.9403360231757621,-1.5714285714285725,-0.4702639373535853,0
6,-0.2714161598308308,-0.2427131070533273,-0.6373057201378101,-0.3571428571428575,-0.5155597380846364,-0.14630755863643538,-0.10705774514931553,-0.7383158211504596,-0.4285714285714301,-0.5065959163187366,-1.4543874891341957,-1.5574702108972436,-1.7820868649141894,-4.71428571428572,-0.4914973160750528,-0.9615986098821772,-0.9620531623288602,-0.9403360231757621,-1.5714285714285725,-0.4702639373535853,-1.945786272796304,-2.1074243811529803,-2.213063295935174,-3.0714285714285747,-0.4428957801543333,0
7,-0.14630755863643538,-0.10705774514931553,-0.7383158211504596,-0.4285714285714301,-0.5065959163187366,-1.4543874891341957,-1.5574702108972436,-1.7820868649141894,-4.71428571428572,-0.4914973160750528,-0.9615986098821772,-0.9620531623288602,-0.9403360231757621,-1.5714285714285725,-0.4702639373535853,-1.945786272796304,-2.1074243811529803,-2.213063295935174,-3.0714285714285747,-0.4428957801543333,-1.0262380538642395,-1.0317140240691025,-0.5194606022560442,-1.0000000000000024,-0.4093928444772974,0
8,-1.4543874891341957,-1.5574702108972436,-1.7820868649141894,-4.71428571428572,-0.4914973160750528,-0.9615986098821772,-0.9620531623288602,-0.9403360231757621,-1.5714285714285725,-0.4702639373535853,-1.945786272796304,-2.1074243811529803,-2.213063295935174,-3.0714285714285747,-0.4428957801543333,-1.0262380538642395,-1.0317140240691025,-0.5194606022560442,-1.0000000000000024,-0.4093928444772974,-0.951172893128142,-0.9437213564996959,-0.9571710400448749,-0.5714285714285725,-0.3697551303224774,0
9,-0.9615986098821772,-0.9620531623288602,-0.9403360231757621,-1.5714285714285725,-0.4702639373535853,-1.945786272796304,-2.1074243811529803,-2.213063295935174,-3.0714285714285747,-0.4428957801543333,-1.0262380538642395,-1.0317140240691025,-0.5194606022560442,-1.0000000000000024,-0.4093928444772974,-0.951172893128142,-0.9437213564996959,-0.9571710400448749,-0.5714285714285725,-0.3697551303224774,-1.4481320590525817,-1.5024747939229781,-0.6373057201378101,-1.642857142857145,-0.3239826376898734,0
10,-1.945786272796304,-2.1074243811529803,-2.213063295935174,-3.0714285714285747,-0.4428957801543333,-1.0262380538642395,-1.0317140240691025,-0.5194606022560442,-1.0000000000000024,-0.4093928444772974,-0.951172893128142,-0.9437213564996959,-0.9571710400448749,-0.5714285714285725,-0.3697551303224774,-1.4481320590525817,-1.5024747939229781,-0.6373057201378101,-1.642857142857145,-0.3239826376898734,-1.1499565595173789,-1.2106324472372318,-0.4184505012433912,-0.92857142857143,-0.2720753665794856,1
11,-1.0262380538642395,-1.0317140240691025,-0.5194606022560442,-1.0000000000000024,-0.4093928444772974,-0.951172893128142,-0.9437213564996959,-0.9571710400448749,-0.5714285714285725,-0.3697551303224774,-1.4481320590525817,-1.5024747939229781,-0.6373057201378101,-1.642857142857145,-0.3239826376898734,-1.1499565595173789,-1.2106324472372318,-0.4184505012433912,-0.92857142857143,-0.2720753665794856,-2.3197219808382346,-2.6669110905835915,0.8441757614147541,0.285714285714285,-0.21403331699131348,0
12,-0.951172893128142,-0.9437213564996959,-0.9571710400448749,-0.5714285714285725,-0.3697551303224774,-1.4481320590525817,-1.5024747939229781,-0.6373057201378101,-1.642857142857145,-0.3239826376898734,-1.1499565595173789,-1.2106324472372318,-0.4184505012433912,-0.92857142857143,-0.2720753665794856,-2.3197219808382346,-2.6669110905835915,0.8441757614147541,0.285714285714285,-0.21403331699131348,-1.06724587315841,-1.1248395967163547,-0.10700268982138696,-0.5714285714285725,-0.14985648892535733,0
13,-1.4481320590525817,-1.5024747939229781,-0.6373057201378101,-1.642857142857145,-0.3239826376898734,-1.1499565595173789,-1.2106324472372318,-0.4184505012433912,-0.92857142857143,-0.2720753665794856,-2.3197219808382346,-2.6669110905835915,0.8441757614147541,0.285714285714285,-0.21403331699131348,-1.06724587315841,-1.1248395967163547,-0.10700268982138696,-0.5714285714285725,-0.14985648892535733,-1.4995655951007898,-1.6036663612171904,0.0024249195753147466,-0.5714285714285725,-0.07954488238161739,0
14,-1.1499565595173789,-1.2106324472372318,-0.4184505012433912,-0.92857142857143,-0.2720753665794856,-2.3197219808382346,-2.6669110905835915,0.8441757614147541,0.285714285714285,-0.21403331699131348,-1.06724587315841,-1.1248395967163547,-0.10700268982138696,-0.5714285714285725,-0.14985648892535733,-1.4995655951007898,-1.6036663612171904,0.0024249195753147466,-0.5714285714285725,-0.07954488238161739,-1.2757602084824031,-1.3418881760707564,-0.38478046760618106,-0.5714285714285725,-0.0030984973600931428,0
15,-2.3197219808382346,-2.6669110905835915,0.8441757614147541,0.285714285714285,-0.21403331699131348,-1.06724587315841,-1.1248395967163547,-0.10700268982138696,-0.5714285714285725,-0.14985648892535733,-1.4995655951007898,-1.6036663612171904,0.0024249195753147466,-0.5714285714285725,-0.07954488238161739,-1.2757602084824031,-1.3418881760707564,-0.38478046760618106,-0.5714285714285725,-0.0030984973600931428,-0.6189400521023564,-0.5990834098882135,-0.8393259221631126,-0.92857142857143,0.07948266613921515,1
16,-1.06724587315841,-1.1248395967163547,-0.10700268982138696,-0.5714285714285725,-0.14985648892535733,-1.4995655951007898,-1.6036663612171904,0.0024249195753147466,-0.5714285714285725,-0.07954488238161739,-1.2757602084824031,-1.3418881760707564,-0.38478046760618106,-0.5714285714285725,-0.0030984973600931428,-0.6189400521023564,-0.5990834098882135,-0.8393259221631126,-0.92857142857143,0.07948266613921515,-0.6564726324947315,-0.6357470210332857,0.1274850446289798,-0.21428571428571505,0.16819860811630666,1
17,-1.4995655951007898,-1.6036663612171904,0.0024249195753147466,-0.5714285714285725,-0.07954488238161739,-1.2757602084824031,-1.3418881760707564,-0.38478046760618106,-0.5714285714285725,-0.0030984973600931428,-0.6189400521023564,-0.5990834098882135,-0.8393259221631126,-0.92857142857143,0.07948266613921515,-0.6564726324947315,-0.6357470210332857,0.1274850446289798,-0.21428571428571505,0.16819860811630666,-0.9205907905880076,-0.9363886343733212,0.24653266372289154,-0.21428571428571505,0.263049328571183,0
18,-1.2757602084824031,-1.3418881760707564,-0.38478046760618106,-0.5714285714285725,-0.0030984973600931428,-0.6189400521023564,-0.5990834098882135,-0.8393259221631126,-0.92857142857143,0.07948266613921515,-0.6564726324947315,-0.6357470210332857,0.1274850446289798,-0.21428571428571505,0.16819860811630666,-0.9205907905880076,-0.9363886343733212,0.24653266372289154,-0.21428571428571505,0.263049328571183,-0.5960034752337463,-0.5763519704752474,0.4738053910013591,-0.92857142857143,0.3640348275038432,0
19,-0.6189400521023564,-0.5990834098882135,-0.8393259221631126,-0.92857142857143,0.07948266613921515,-0.6564726324947315,-0.6357470210332857,0.1274850446289798,-0.21428571428571505,0.16819860811630666,-0.9205907905880076,-0.9363886343733212,0.24653266372289154,-0.21428571428571505,0.263049328571183,-0.5960034752337463,-0.5763519704752474,0.4738053910013591,-0.92857142857143,0.3640348275038432,-0.2686359686996656,-0.2859761688307013,0.06976498695075407,-0.1428571428571425,0.4711551049142877,0
20,-0.6564726324947315,-0.6357470210332857,0.1274850446289798,-0.21428571428571505,0.16819860811630666,-0.9205907905880076,-0.9363886343733212,0.24653266372289154,-0.21428571428571505,0.263049328571183,-0.5960034752337463,-0.5763519704752474,0.4738053910013591,-0.92857142857143,0.3640348275038432,-0.2686359686996656,-0.2859761688307013,0.06976498695075407,-0.1428571428571425,0.4711551049142877,-0.279061685502355,-0.28304307977487225,0.6505730677735001,0.1428571428571425,0.5844101608025162,0
21,-0.9205907905880076,-0.9363886343733212,0.24653266372289154,-0.21428571428571505,0.263049328571183,-0.5960034752337463,-0.5763519704752474,0.4738053910013591,-0.92857142857143,0.3640348275038432,-0.2686359686996656,-0.2859761688307013,0.06976498695075407,-0.1428571428571425,0.4711551049142877,-0.279061685502355,-0.28304307977487225,0.6505730677735001,0.1428571428571425,0.5844101608025162,-0.7496090356077372,-0.8205316223131319,1.5091589263810368,0.285714285714285,0.7037999951685288,0
