,PC1,PC2,PC3,weekofyear,poly_fit,total_cases,reanalysis_dew_point_temp_k,reanalysis_min_air_temp_k,reanalysis_specific_humidity_g_per_kg
0,4.428859241736457,-0.23160900603030765,-0.5170461393440078,18,9.0392873294259,4,-1.183554006793482,-0.7619047619047851,-1.0818144442666104
1,1.7142821954467016,-0.24892620167831894,-0.663551651335566,19,9.08174391452242,5,-0.5836933797885653,-0.5238095238095432,-0.5599561463416755
2,0.0012363940348162528,0.7882902715993495,-0.6127924449675088,20,9.47717575696365,4,-0.005017421657565221,-0.09523809523809137,0.006303960539878677
3,-0.1904926736711382,-1.3951198933583047,-2.305404120056373,21,10.252293478458036,3,-0.053519163696881394,-0.23809523809524197,-0.06112100861931078
4,-1.5925716170440194,-3.4278712835878187,-2.955539577488727,22,11.426180838066308,6,0.14606271763003834,0.0,0.1449910922253533
5,-1.79151112119097,-1.103947710801827,-1.3941143034070023,23,13.00932230301224,2,0.15777003470091436,0.2857142857143012,0.1460874332038249
6,-0.650548381148478,-0.250338584433197,-1.1976544606972828,24,15.002846803601713,4,0.16334494787054724,0.09523809523809137,0.15430999040806578
7,-2.6159864810031817,2.293378658260734,-0.7275724970980352,25,17.397987672248703,5,0.42313588830768134,0.4285714285714247,0.4393586405132037
8,-1.8494654526512038,-0.10062795056898749,-0.20152872423955193,26,20.175758766608336,10,0.363484320709579,0.09523809523809137,0.36754830751686907
9,-2.653478503300736,-1.0228466258382929,-0.4777071561917105,27,23.306846776819114,6,0.4699651565912298,0.5714285714285753,0.47553789226558346
10,-0.9955058256573915,0.4332671433393177,-0.984322832614959,28,26.751719716851103,8,0.23191637614986232,0.23809523809524197,0.2250239824643001
11,-1.7933907223424805,-0.8371871521673699,-4.269817817139822,29,30.46095159996303,2,0.34620209046904793,-0.09523809523809137,0.34726599970292166
12,-0.8588895657395077,-0.23064762085096216,-1.9887913356247717,30,34.37576329826539,6,0.2001393728389874,-0.19047619047618275,0.1954227764676402
13,-2.092000134471923,-2.3927267899429476,-4.61176007419429,31,38.428779586393965,17,0.2832055749691259,0.38095238095239253,0.29244895162348955
14,-2.516406689287792,-1.1295946574962292,0.4456433534656974,32,42.54500236928641,23,0.4236933798197712,0.6190476190476345,0.4289434013903909
15,-3.2007148510617798,2.1066438509772523,-1.5163991618909285,33,46.643000094071795,13,0.6199303136351332,0.47619047619048394,0.6460189118662899
16,-2.4913243652454518,-1.1516795368456352,-1.1416757251349883,34,50.636313346062906,21,0.5000696865365767,0.2857142857143012,0.5150061669150067
17,-2.8082750038020197,-0.7790239705104911,-4.413851582047159,35,54.435076628860365,28,0.6126829267097326,0.5714285714285753,0.6460189118662899
18,-2.2797588521444943,-2.898532634007401,-2.5247175516847946,36,57.947856328559276,24,0.26146341458314165,0.23809523809524197,0.27929286007368137
19,-3.9863678946792462,-1.1828985907847105,-1.8092022500817042,37,61.08370486207087,20,0.6812543553792653,0.7142857142857258,0.7463341098808128
20,-2.7365281478350783,0.42804133732399635,-3.9956280811638916,38,63.754431009542465,40,0.3841114980713836,0.5714285714285753,0.40701658216629233
21,-2.46113341664522,-1.682143309691751,-2.043175843608094,39,65.87708643089356,27,0.22689895488255907,0.7619047619047851,0.24420994929977594
22,-3.2394193924147423,-2.3667248499683597,-1.8218670128304226,40,67.37666836645371,42,0.474982578248795,0.7619047619047851,0.5171988488335786
